,amount_transactions,number_transactions,breakdown
0,1082748112.02,90.0,Billions
1,2721000000.0,1.0,Billions
2,400.01,,Hundreds
3,475.0,,Hundreds
4,400.0,,Hundreds
5,350.0,,Hundreds
6,200.0,,Hundreds
7,200.0,,Hundreds
8,240.0,,Hundreds
9,250.0,,Hundreds
10,400.0,,Hundreds
11,772.0,,Hundreds
12,459.49,,Hundreds
13,167.0,,Hundreds
14,112.32,,Hundreds
15,200.0,,Hundreds
16,300.0,,Hundreds
17,290.0,,Hundreds
18,480.0,,Hundreds
19,146.0,,Hundreds
20,600.0,,Hundreds
21,500.0,,Hundreds
22,195.0,,Hundreds
23,490.0,,Hundreds
24,197.44,,Hundreds
25,370.0,,Hundreds
26,979.0,,Hundreds
27,535.0,,Hundreds
28,607.49,,Hundreds
29,210.0,,Hundreds
30,419.15,,Hundreds
31,437.86,,Hundreds
32,300.0,,Hundreds
33,636.65,,Hundreds
34,500.0,,Hundreds
35,700.0,,Hundreds
36,750.0,,Hundreds
37,435.67,,Hundreds
38,290.0,,Hundreds
39,506.14,,Hundreds
40,544.0,,Hundreds
41,390.0,,Hundreds
42,990.5,,Hundreds
43,667.94,,Hundreds
44,890.71,,Hundreds
45,224.18,,Hundreds
46,980.0,,Hundreds
47,750.0,1.0,Hundreds
48,825.0,1.0,Hundreds
49,105.0,1.0,Hundreds
50,375.0,1.0,Hundreds
51,238.61,1.0,Hundreds
52,205.48,1.0,Hundreds
53,280.0,1.0,Hundreds
54,284.25,1.0,Hundreds
55,112.0,1.0,Hundreds
56,140.44,1.0,Hundreds
57,534.0,1.0,Hundreds
58,190.92,1.0,Hundreds
59,270.0,1.0,Hundreds
60,339.89,1.0,Hundreds
61,348.87,1.0,Hundreds
62,359.1,1.0,Hundreds
63,558.4,1.0,Hundreds
64,808.57,1.0,Hundreds
65,810.0,1.0,Hundreds
66,819.99,1.0,Hundreds
67,976.26,1.0,Hundreds
68,275.0,1.0,Hundreds
69,412.0,1.0,Hundreds
70,640.0,1.0,Hundreds
71,877.0,1.0,Hundreds
72,434.0,1.0,Hundreds
73,755.0,1.0,Hundreds
74,590.0,1.0,Hundreds
75,608.0,3.0,Hundreds
76,180.0,1.0,Hundreds
77,270.0,1.0,Hundreds
78,370.0,1.0,Hundreds
79,400.0,1.0,Hundreds
80,353.06,1.0,Hundreds
81,217.12,1.0,Hundreds
82,750.0,1.0,Hundreds
83,750.0,1.0,Hundreds
84,121.67,1.0,Hundreds
85,587.09,1.0,Hundreds
86,680.0,1.0,Hundreds
87,395.5,1.0,Hundreds
88,765.0,1.0,Hundreds
89,239.9,1.0,Hundreds
90,516.91,1.0,Hundreds
91,258.08,1.0,Hundreds
92,100.0,1.0,Hundreds
93,750.0,1.0,Hundreds
94,643.0,1.0,Hundreds
95,347.89,1.0,Hundreds
96,413.0,1.0,Hundreds
97,500.0,1.0,Hundreds
98,700.0,1.0,Hundreds
99,764.72,1.0,Hundreds
100,600.0,2.0,Hundreds
101,600.0,2.0,Hundreds
102,600.0,2.0,Hundreds
103,900.0,3.0,Hundreds
104,600.0,2.0,Hundreds
105,900.0,3.0,Hundreds
106,600.0,2.0,Hundreds
107,119.0,1.0,Hundreds
108,788.12,1.0,Hundreds
109,991.06,1.0,Hundreds
